object			
volume	00216x04	James Diderot & al.	{date}
pb	1	0003	
entry	G	0	
orth	G		
entry	GABAL	0	
orth	GABAL		
clique	Cabales		
entry	GABIREA	0	
orth	GABIREA		
entry	GABRICU	0	
orth	GABRICU		
entry	GADOS	0	
orth	GADOS		
clique	Galetts		
entry	GÆODES	0	
orth	GÆODES		
entry	GAGATES	1	
orth	GAGATES		
pb	3	0004	
entry	GAGEL	0	
orth	GAGEL		
clique	gale		
entry	GAIDEROTHYMUM	0	
orth	GAIDEROTHYMUM		
entry	GALA	0	
orth	GALA		
entry	GALACORTA	0	
orth	GALACORTA		
clique	Scorzonera		
entry	GALACTINA	0	
orth	GALACTINA		
clique	Lacticirela		
entry	GALACTITES LAPIS	0	
orth	GALACTITES LAPIS		
clique	Melitites		
entry	GALACTODES	0	
orth	GALACTODES		
entry	GALACTOPHOROS	0	
orth	GALACTOPHOROS		
entry	GALACTOPOETICA	0	
orth	GALACTOPOETICA		
entry	GALACTOPOSIA	0	
orth	GALACTOPOSIA		
entry	GALANGA	0	
orth	GALANGA		
entry	GALARIAS	0	
orth	GALARIAS		
entry	GALARICIDES, GALARACTIS	0	
orth	GALARICIDES		
orth	GALARACTIS		
clique	Galactite s		
entry	GALATURÆ	0	
orth	GALATURÆ		
entry	GALAX	0	
orth	GALAX		
entry	GALAXA, GALACIA	1	
orth	GALAXA		
orth	GALACIA		
pb	5	0005	
entry	GALAXIAS	0	
orth	GALAXIAS		
entry	GALBANETUM	0	
orth	GALBANETUM		
entry	GALBANUM	0	
orth	GALBANUM		
entry	GALBEUM	0	
orth	GALBEUM		
entry	GALBULA	0	
orth	GALBULA		
entry	GALBULUS	0	
orth	GALBULUS		
entry	GALE	1	
orth	GALE		
clique	Ambition		
pb	7	0006	
entry	GALEA	0	
orth	GALEA		
entry	GALEANTHROPIA	0	
orth	GALEANTHROPIA		
entry	GALEATA	0	
orth	GALEATA		
entry	GALEGA	0	
orth	GALEGA		
entry	GALENA	0	
orth	GALENA		
entry	GALENICA MEDICINA	0	
orth	GALENICA MEDICINA		
entry	GALENION	0	
orth	GALENION		
entry	GALENUS, GALIEN	3	
orth	GALENUS		
orth	GALIEN		
pb	9	0007	
pb	11	0008	
pb	13	0009	
entry	GALEOBDULON	0	
orth	GALEOBDULON		
entry	GALEONYMUS	0	
orth	GALEONYMUS		
entry	GALEOPSIS	0	
orth	GALEOPSIS		
entry	GALERITA	0	
orth	GALERITA		
entry	GALEUS	1	
orth	GALEUS		
pb	15	0010	
entry	GALEXIAS	0	
orth	GALEXIAS		
entry	GALGALUS, GALGULA, GALGULUS	0	
orth	GALGALUS		
orth	GALGULA		
orth	GALGULUS		
entry	GALIA	0	
orth	GALIA		
entry	GALIANCONES	0	
orth	GALIANCONES		
clique	Anci		
entry	GALIAS	0	
orth	GALIAS		
entry	GALIOPSIS	0	
orth	GALIOPSIS		
entry	GALLA	0	
orth	GALLA		
clique	Qtercus		
entry	GALLATURA	0	
orth	GALLATURA		
entry	GALLERIDAS	0	
orth	GALLERIDAS		
entry	GALLIA MOSCHATA	0	
orth	GALLIA MOSCHATA		
entry	GALLICUS MORBUS	0	
orth	GALLICUS MORBUS		
entry	GALLINA AQUATICA	0	
orth	GALLINA AQUATICA		
entry	GALLINA DOMESTICA	1	
orth	GALLINA DOMESTICA		
pb	17	0011	
clique	Alimenta siCapo , Albumen & Fibra		
entry	GALLINAGINIS CAPUT	0	
orth	GALLINAGINIS CAPUT		
entry	GALLINAGO	0	
orth	GALLINAGO		
entry	GALLIVASSA	0	
orth	GALLIVASSA		
entry	GALLINULA	0	
orth	GALLINULA		
entry	GALLITRICHO AFFINIS	0	
orth	GALLITRICHO AFFINIS		
entry	GALLITRICHUM	0	
orth	GALLITRICHUM		
entry	GALLIUM	0	
orth	GALLIUM		
entry	GALLOPAVO	0	
orth	GALLOPAVO		
clique	Pavo		
entry	GALLOS	0	
orth	GALLOS		
entry	GALLUS	0	
orth	GALLUS		
clique	Gallina		
entry	GALREDA	0	
orth	GALREDA		
entry	GALTIHENUM, GALITHENUM	0	
orth	GALTIHENUM		
orth	GALITHENUM		
entry	GAMAHEU	0	
orth	GAMAHEU		
entry	GAMANDRA	0	
orth	GAMANDRA		
clique	Gutta Gamba		
entry	GAMATHA	0	
orth	GAMATHA		
clique	Gamaheu		
entry	GAMBOGIUM	0	
orth	GAMBOGIUM		
clique	Gutta Gamba		
entry	GAMBOIDEA	0	
orth	GAMBOIDEA		
entry	GAMMAROS	0	
orth	GAMMAROS		
clique	Cancer		
entry	GAMMATA	1	
orth	GAMMATA		
pb	19	0012	
entry	GAMMAUT	0	
orth	GAMMAUT		
entry	GAMPHELE	0	
orth	GAMPHELE		
entry	GAMPSONYX	0	
orth	GAMPSONYX		
entry	GANGAMON	0	
orth	GANGAMON		
entry	GANGILA	0	
orth	GANGILA		
clique	Sesamdm		
entry	GANGITIS	0	
orth	GANGITIS		
clique	Gagates		
entry	GANGLION	1	
orth	GANGLION		
pb	21	0013	
entry	GANGRÆNA	30	
orth	GANGRÆNA		
pb	23	0014	
pb	25	0015	
pb	27	0016	
pb	29	0017	
pb	31	0018	
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
pb	53	0029	
pb	55	0030	
pb	57	0031	
pb	59	0032	
pb	61	0033	
pb	63	0034	
pb	65	0035	
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
pb	75	0040	
pb	77	0041	
pb	79	0042	
clique	Amputatio		
pb	81	0043	
entry	GANGRINOS	0	
orth	GANGRINOS		
entry	GANIMEDES	0	
orth	GANIMEDES		
entry	GANNANAPERIDE	0	
orth	GANNANAPERIDE		
entry	GARAB, ALGARAB	0	
orth	GARAB		
orth	ALGARAB		
entry	GARAGAY	0	
orth	GARAGAY		
entry	GARB	0	
orth	GARB		
entry	GARGALE, GARGALOS, GARGALISMOS	0	
orth	GARGALE		
orth	GARGALOS		
orth	GARGALISMOS		
entry	GARGAREON	0	
orth	GARGAREON		
entry	GARGARISMA, GARGARISMUS	0	
orth	GARGARISMA		
orth	GARGARISMUS		
entry	GARGATHUM	0	
orth	GARGATHUM		
entry	GARIDELLA	1	
orth	GARIDELLA		
pb	83	0044	
entry	GARIP	0	
orth	GARIP		
entry	GARON, GARUM	0	
orth	GARON		
orth	GARUM		
entry	GARRULUS	0	
orth	GARRULUS		
entry	GARYOPHYLLATA	0	
orth	GARYOPHYLLATA		
clique	Caryophyllata		
entry	GARYOPHYLLI	0	
orth	GARYOPHYLLI		
clique	Caryophylli		
entry	GAS	0	
orth	GAS		
clique	AlcoholSc Bufo		
entry	GASSELA, GAZELLA	0	
orth	GASSELA		
orth	GAZELLA		
clique	Bezoar		
entry	GASTER	0	
orth	GASTER		
entry	GASTERANAX	0	
orth	GASTERANAX		
clique	Bithnelmalca		
entry	GASTRICUS SUCCUS	0	
