object			
volume	61157	Bégin	{date}
pb	1	0003	
entry	OCULUS	25	
orth	OCULUS		
pb	3	0004	
pb	5	0005	
pb	7	0006	
pb	9	0007	
pb	11	0008	
pb	13	0009	
pb	15	0010	
pb	17	0011	
pb	19	0012	
pb	21	0013	
pb	23	0014	
clique	ancyloblepharon		
pb	25	0015	
pb	27	0016	
clique	Iris		
pb	29	0017	
pb	31	0018	
clique	Fig		
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
entry	OCYMASTRUM	0	
orth	OCYMASTRUM		
entry	OCYMUM	1	
orth	OCYMUM		
clique	Basilicum		
pb	53	0029	
clique	Adnos		
entry	ODALLAM	0	
orth	ODALLAM		
entry	ODAXISMOS	0	
orth	ODAXISMOS		
entry	ODIUM	0	
orth	ODIUM		
clique	Ira		
entry	ODMALEA	0	
orth	ODMALEA		
entry	ODONTAGOGOS	0	
orth	ODONTAGOGOS		
entry	ODONTAGRA	0	
orth	ODONTAGRA		
entry	ODONTALGIA	0	
orth	ODONTALGIA		
entry	ODONTIASIS	0	
orth	ODONTIASIS		
entry	ODONTICA	0	
orth	ODONTICA		
entry	ODONTIS, ODONTITIS	0	
orth	ODONTIS		
orth	ODONTITIS		
entry	ODONTOGLYPHON	0	
orth	ODONTOGLYPHON		
entry	ODONTOIDES	0	
orth	ODONTOIDES		
entry	ODONTOPHYIA	0	
orth	ODONTOPHYIA		
entry	ODONTOTRIMMA	0	
orth	ODONTOTRIMMA		
entry	ODORATUS	0	
orth	ODORATUS		
clique	Olfactus		
entry	OE	0	
orth	OE		
entry	ŒCONOMIA	0	
orth	ŒCONOMIA		
entry	ŒDEMA	1	
orth	ŒDEMA		
pb	55	0030	
entry	ŒDEMOSARCA	0	
orth	ŒDEMOSARCA		
entry	ŒLNIZIUM	0	
orth	ŒLNIZIUM		
entry	ŒNANTHARIA	0	
orth	ŒNANTHARIA		
entry	ŒNANTHE	1	
orth	ŒNANTHE		
pb	57	0031	
entry	ŒNAREA	0	
orth	ŒNAREA		
entry	ŒNAS	0	
orth	ŒNAS		
entry	ŒNELÆUM	0	
orth	ŒNELÆUM		
entry	ŒNEROS	0	
orth	ŒNEROS		
entry	ŒNODES	0	
orth	ŒNODES		
entry	ŒNOGALA	0	
orth	ŒNOGALA		
entry	ŒNOGARUM	0	
orth	ŒNOGARUM		
entry	ŒNOMELI SANUM	0	
orth	ŒNOMELI SANUM		
entry	ŒNOPHLYGIA	0	
orth	ŒNOPHLYGIA		
entry	ŒNOPLIA	0	
orth	ŒNOPLIA		
entry	ŒNOPUS	1	
orth	ŒNOPUS		
pb	59	0032	
entry	ŒNUS	0	
orth	ŒNUS		
clique	Decoctio		
entry	ŒNOSTAGMA	0	
orth	ŒNOSTAGMA		
entry	ŒNOTHERA	0	
orth	ŒNOTHERA		
entry	ŒPATA	0	
orth	ŒPATA		
entry	ŒSOPHAGUS	7	
orth	ŒSOPHAGUS		
pb	61	0033	
pb	63	0034	
pb	65	0035	
clique	A, N. C. Dec		
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
entry	ŒSTROMANIA	0	
orth	ŒSTROMANIA		
entry	ŒSTRUM VENERIS	0	
orth	ŒSTRUM VENERIS		
entry	ŒSYPE, ŒSYPOS	0	
orth	ŒSYPE		
orth	ŒSYPOS		
entry	OFFA HELMONTIANA	0	
orth	OFFA HELMONTIANA		
entry	OFFINALIA	0	
orth	OFFINALIA		
entry	OFFION	0	
orth	OFFION		
entry	OGER, OGERTINUM, OGERTUM	0	
orth	OGER		
orth	OGERTINUM		
orth	OGERTUM		
entry	OLAMPI	1	
orth	OLAMPI		
pb	75	0040	
entry	OLCA	0	
orth	OLCA		
clique	Holca		
entry	OLDENLANDIA	0	
orth	OLDENLANDIA		
entry	OLEA	2	
orth	OLEA		
pb	77	0041	
clique	Vlpera		
pb	79	0042	
entry	OLEAMEN	0	
orth	OLEAMEN		
entry	OLEANDER	0	
orth	OLEANDER		
clique	Nerium		
entry	OLEASTER	0	
orth	OLEASTER		
clique	Olea		
entry	OLECRANON	0	
orth	OLECRANON		
entry	OLEITAS	0	
orth	OLEITAS		
entry	OLENE	0	
orth	OLENE		
entry	OLEUM	16	
orth	OLEUM		
pb	81	0043	
pb	83	0044	
pb	85	0045	
pb	87	0046	
pb	89	0047	
clique	Caryophyllus		
clique	Cinnamomum		
pb	91	0048	
pb	93	0049	
pb	95	0050	
pb	97	0051	
clique	Anethum		
clique	Castor		
clique	Euphorbium		
clique	Excestrense oleum		
pb	99	0052	
clique	Laurus		
pb	101	0053	
clique	Terebenthelna		
clique	Sulphur		
clique	Tartarus		
pb	103	0054	
pb	105	0055	
pb	107	0056	
pb	109	0057	
pb	111	0058	
entry	OLFACTORII NERVI	0	
orth	OLFACTORII NERVI		
entry	OLFACTUS	1	
orth	OLFACTUS		
pb	113	0059	
entry	OLIBANUM	1	
orth	OLIBANUM		
pb	115	0060	
entry	OLIGOPHORUS	0	
orth	OLIGOPHORUS		
entry	OLISTHEMA	0	
orth	OLISTHEMA		
entry	OLIVA	0	
orth	OLIVA		
clique	Ole a		
entry	OLIVARIA CORPORA	0	
orth	OLIVARIA CORPORA		
entry	OLOPHLYCTIDES	0	
orth	OLOPHLYCTIDES		
entry	OLOR	0	
orth	OLOR		
clique	Cygnus		
entry	OLUS ALBUM	0	
orth	OLUS ALBUM		
entry	OLY	0	
orth	OLY		
entry	OLYMPIACUM COLLYRIUM	0	
orth	OLYMPIACUM COLLYRIUM		
entry	OLYMPIANUM OXYPORIUM	0	
orth	OLYMPIANUM OXYPORIUM		
entry	OLYNTHOS	0	
orth	OLYNTHOS		
entry	OLYRA	0	
orth	OLYRA		
entry	OLYSCION	0	
orth	OLYSCION		
entry	OMAGRA	0	
orth	OMAGRA		
entry	OMASUM	0	
orth	OMASUM		
entry	OMELYSIS	0	
orth	OMELYSIS		
entry	OMENTA	0	
orth	OMENTA		
entry	OMENTUM	1	
orth	OMENTUM		
clique	Epiploon		
pb	117	0061	
entry	OMOCOTYLE	0	
orth	OMOCOTYLE		
entry	OMOLINON	0	
orth	OMOLINON		
entry	OMOPLATÆ	0	
orth	OMOPLATÆ		
entry	OMOS	0	
orth	OMOS		
entry	OMOTARICHOS	0	
orth	OMOTARICHOS		
entry	OMOTRIBES	0	
orth	OMOTRIBES		
entry	OMPHACINUM OLEUM	0	
orth	OMPHACINUM OLEUM		
entry	OMPHACIUM	0	
orth	OMPHACIUM		
entry	OMPHACIS	0	
orth	OMPHACIS		
entry	OMPHACITES VINUM	0	
orth	OMPHACITES VINUM		
entry	OMPHACITIS	0	
orth	OMPHACITIS		
entry	OMPHALOCARPOS	0	
orth	OMPHALOCARPOS		
entry	OMPHALOCELE	0	
orth	OMPHALOCELE		
clique	Hernia		
entry	OMPHALODES	0	
orth	OMPHALODES		
entry	OMPHALOMANTIA	0	
orth	OMPHALOMANTIA		
entry	OMPHALOS	0	
orth	OMPHALOS		
entry	ONAGER	0	
orth	ONAGER		
entry	ONAGRA	0	
orth	ONAGRA		
entry	ONBOU	1	
orth	ONBOU		
pb	119	0062	
entry	ONCOS	0	
orth	ONCOS		
entry	ONDA	0	
orth	ONDA		
entry	ONEIROCRITICUS	0	
orth	ONEIROCRITICUS		
entry	ONEIROGMOS	0	
orth	ONEIROGMOS		
entry	ONEIROMANTES	0	
orth	ONEIROMANTES		
entry	ONEIROPOLESIS	0	
orth	ONEIROPOLESIS		
clique	Oneirogmos		
entry	ONIS	0	
orth	ONIS		
clique	Asinus		
entry	ONISCI	0	
orth	ONISCI		
clique	Millepedes		
entry	ONISCUS	1	
orth	ONISCUS		
pb	121	0063	
entry	ONITIS	0	
orth	ONITIS		
entry	ONOBRYCHIS	0	
orth	ONOBRYCHIS		
entry	ONOBRYCHIS	0	
orth	ONOBRYCHIS		
entry	ONOCHITES	0	
orth	ONOCHITES		
clique	Anchusa		
entry	ONOCLEA	0	
orth	ONOCLEA		
entry	ONOCROTALUS	0	
orth	ONOCROTALUS		
entry	ONOSOLAT	0	
orth	ONOSOLAT		
entry	ONONIS	0	
orth	ONONIS		
clique	A noms		
entry	ONOPERDUM	0	
orth	ONOPERDUM		
entry	ONOPTERIS	0	
orth	ONOPTERIS		
clique	Adianthum nigrum		
entry	ONOS	0	
