@xml:id	orth
a	A
a	AA
aans	AANS
abaca	ABACA
abairucu	ABAIRUCU
abaisse-langue	ABAISSE-LANGUE
abaisse-langue	ABAISSEUR DE LA LANGUE
abaissement	ABAISSEMENT
abaisse-paupière	ABAISSE-PAUPIÈRE
abaisse-paupière	ABAISSEUR DE LA PAUPIÈRE
abaisseur	ABAISSEUR
abajoue	ABAJOUE
abaliéné	ABALIÉNÉ
abaptista	ABAPTISTA
abaptista	ABAPTISTON
abarthrose	ABARTHROSE
abarthrose	ABARTICULATION
abatage	ABATAGE
abâtardissement	ABÂTARDISSEMENT
abattement	ABATTEMENT
abattoir	ABATTOIR
abattre	ABATTRE
abattre2	ABATTRE
abcéder	ABCÉDER
abcès	ABCÈS
abdomen	ABDOMEN
abdominal	ABDOMINAL
abdominoscopie	ABDOMINOSCOPIE
abdomino-scrotal	ABDOMINO-SCROTAL
abdomino-thoracique	ABDOMINO-THORACIQUE
abdomino-utérotomie	ABDOMINO-UTÉROTOMIE
abducteur	ABDUCTEUR
abduction	ABDUCTION
abeille	ABEILLE
abelasie	ABELASIE
abelmosch	ABELMOSCH
abepithymia	ABEPITHYMIA
aberrant	ABERRANT
aberration	ABERRATION
abévacuation	ABÉVACUATION
abiétate	ABIÉTATE
abiétine	ABIÉTINE
abiétiné	ABIÉTINÉ
abiétinées	ABIÉTINÉES
abiétique	ABIÉTIQUE
abirritant	ABIRRITANT
abirritatif	ABIRRITATIF
abirritation	ABIRRITATION
ablactation	ABLACTATION
ablation	ABLATION
able	ABLE
able	ABLETTE
ablépharon	ABLÉPHARON
ablepsie	ABLEPSIE
abluant	ABLUANT
ablution	ABLUTION
abnormité	ABNORMITÉ
abobra_do_mato	ABOBRA DO MATO
aboi	ABOI
aboi	ABOIEMENT
abolition	ABOLITION
abomasum	ABOMASUM
abomasum	ABOMASUS
abords	ABORDS
aborigène	ABORIGÈNE
abortif	ABORTIF
abouchement	ABOUCHEMENT
aboussenna	ABOUSSENNA
aboutir	ABOUTIR
aboutissement	ABOUTISSEMENT
aboyeurs	ABOYEURS
abracadabra	ABRACADABRA
abrachie	ABRACHIE
abrachiocéphalie	ABRACHIOCÉPHALIE
abranches	ABRANCHES
abrasion	ABRASION
abre	ABRE
abreuvé	ABREUVÉ
abreuvement	ABREUVEMENT
abréviation	ABRÉVIATION
abricot	ABRICOT
abrotone	ABROTONE
abruption	ABRUPTION
abrus	ABRUS
abrutissement	ABRUTISSEMENT
abscision	ABSCISION
abscision	ABSCISSION
absence	ABSENCE
absinthe	ABSINTHE
absinthe2	ABSINTHE
absinthine	ABSINTHINE
absinthique	ABSINTHIQUE
absinthisme	ABSINTHISME
absolu	ABSOLU
absorbable	ABSORBABLE
absorbant	ABSORBANT
absorption	ABSORPTION
abstème	ABSTÈME
abstergent	ABSTERGENT
abstersion	ABSTERSION
abstinence	ABSTINENCE
abstractif	ABSTRACTIF
abstraction	ABSTRACTION
abstrait	ABSTRAIT
absus	ABSUS
abulie	ABULIE
abuta	ABUTA
acacia	ACACIA
académie	ACADÉMIE
acajou	ACAJOU
acalèphe	ACALÈPHE
acalical	ACALICAL
acalicine	ACALICINE
acaligulé	ACALIGULÉ
acampsie	ACAMPSIE
acanthacées	ACANTHACÉES
acanthe	ACANTHE
acanthichthyose	ACANTHICHTHYOSE
acanthobole	ACANTHOBOLE
acanthocéphale	ACANTHOCÉPHALE
acanthophage	ACANTHOPHAGE
acanthoptérygien	ACANTHOPTÉRYGIEN
acanthothèque	ACANTHOTHÈQUE
acardie	ACARDIE
acare	ACARE
acare	ACARUS
acariasis	ACARIASIS
acarien	ACARIEN
acaropse	ACAROPSE
acarotoxique	ACAROTOXIQUE
acarpe	ACARPE
acarpellé	ACARPELLÉ
acarus	ACARUS
acatalepsie	ACATALEPSIE
acatapose	ACATAPOSE
acatastatique	ACATASTATIQUE
acatharsie	ACATHARSIE
acaudé	ACAUDÉ
acaule	ACAULE
acaweria	ACAWERIA
accablement	ACCABLEMENT
