1	A	
2	AABAM	
3	ABABTISTON	ἀβάπτιστοι
4	ABAISIR	
5	ABALIENATUS	
6	ABARNAHAS	
7	ABAETAMEN	
8	ABASTICULATIO	ἀπάρθρωσις, αλάρθρωσις
9	ABAS	
10	ABBREVIATIO	βραχυνσις, βραγεισμὰς
11	ABDITUS	
12	ABDOMEN	γαστὴρ
13	ABDUCTIO	άπαγμα, ἀπόκλασροα
14	ABEBAEOS	ἀβέβαιος
15	ABESAMUM	
16	ABESTUS	
17	ABESUM	
18	ABEVACUATIO	άπνκένωσις
19	ABICUM	
20	ABIT, ABOIT	
21	ABLACTATIO	ἀπογαλακτισμος
22	ABLATIO	ἀφαίρεσις
23	ABLUENTIA	
24	ABLUTIO	ἀπονιψις, κατακλνσμὸς
25	ABNELECTEN	
26	ABOIT	
27	ABOLITIO	
28	ABOLLAM	
29	ABOMASUM	ἥνυστρον
30	ABOMINATIO	ἀποσιτία
31	ABORTUS	
32	ABRABAX	
33	ABRACADABRA	
34	ABRASAXAS	
35	ABRASIO	ξυσματῶδης, διασθ, σις
36	ABRASUM	ἀπόσνρμα
37	ABRIC	
38	ABRUPTIO	
39	ABSCEDENTIA	ἀφεστοῶτμ
40	ABSCESSIO	άπόστασις
41	ABSCESSUS	ἀπόσημα
42	ABSCISSIO	ἀποκοπὴ
43	ABSCONSIO	κὸλπος
44	ABSORBEO	άναπάω
45	ABSTEMIUS	ἄοινος
46	ABSTERGENTIA	
47	ABSTINENTIA	ἀσιτία, νιστὸιη
48	ABSTRACTICIUS	
49	ABVACUATIO	ἀπὸκἐνωσις
50	ABUNDANTIA	πε^όοτωσισ, περιασσός
51	ABUSUS	κατάχρησις
52	ABYSSUS	ἄβυασσος
53	ACACOS	ἄκακος
54	ACADEMIA	
55	ACAERIA	ἀκα/ριτὸ, ἄκαιρος
56	ACAHI	
57	ACAID	
58	ACALAI	
59	ACALCUM	
60	ACAMATOS	ἀκὰματος
61	ACANOR	
62	ACANTHA	ἄκανθα
63	ACANTHABOLOS	ἀκαιθάβολος
64	ACANTHIS	ἀκανθὶς
65	ACARDIOS	ἀκάρδίος
66	ACARI	
67	ACARNAN	άκαρ, ἀν, ἅχάρ, ος, αχάρνα
68	ACATALEPSIA	άκμταληψία, κατάληψις
69	ACATASTATOS	ἀκατάστατος
70	ACATHARSIA	ακὸθαρσι'α
71	ACAZDIR	
72	ACCATEM	
73	ACCELERATORES	
74	ACCESSIO	παροξυσμὰς
75	ACCIB	
76	ACCIDENS	σιιμβεβηκὸν
77	ACCIPITER	ίέραξ
78	ACCOMMODATUS	ὀικεῦος
79	ACCRETIO	
80	ACCUBITUS	
81	ACCUSATORIA	
82	ACCUSATIO	
83	ACEDIA	άκηδί'η, κοῦδος
84	ACEPHALOS	ἀκε'φαλος
85	ACERATOS	άιστήρατος, ΐι
86	ACERBUS	στρυφνὸς
87	ACERIDES	ἀκηρι’δες, ἀγκηρίδες
88	ACEROSUS	πιθύρινος
89	ACESIS	ἄκεσις, ἄαος
90	ACESTORIS	ἀκεστορὶς, άκεστρὶς
91	ACESTRA	ἄκεστρα
92	ACETABULUM	κοτέλη, κοτοληδοά
93	ACETARIA	
94	ACETOSA	
95	ACETUM	ὄξος
96	ACHARISTUM	αχάριστον
97	ACHATES	αχάτης
98	ACHEIR	ἄχειρ
99	ACHILLEUS	άχιλλ, εῖος, α’χιλληὶς
100	ACHLYS	άχλὺς
101	ACHMADIUM	
102	ACHNE	ἄχνη
103	ACHORES	άχῶρες
104	ACHORISTOS	ἀχάριστος
105	ACHROI	ἄχροοι, λεἰφαιμοι
106	ACHYRON	ἄχυρον
107	ACIA	
108	ACICYS	ἄκικυς, κικὺς
109	ACIDA	
110	ACIDA	
111	ACIDITATIO	
112	ACIDNOS	ἄκιδνος, ἄκινος, ιίκικνς
113	ACIDULAE	
114	ACIDUS	ὀξὺς
115	ACIES	
116	ACINESIA	ασὲνηπά
117	ACINOSA	ῥαγοειδὴς
118	ACINUS	σταφυλὴ
119	ACIS	
120	ACMASTICOS	ἀκμαστικὸς, ὀμὸτονος
121	ACME	ἀκμὴ, ἀκὴ
122	ACNE	ἄκνη
123	ACNESTIS	ἄκνηστις
124	ACO, AQUO	ούραχος
125	ACOE	ἀκοὴ
126	ACOELIOS	αμὸίκιος
127	ACOETOS	ἄκοιτος
128	ACOLASTOS	ἀκὸλαστος
129	ACONE	ἀκὸτη
130	ACONION	ἀκόνιον
131	ACONTIAS	ἀκοντίος
132	ACOPON	ἅκοπον, κοστόον
133	ACOR	ὀξύτης
134	ACORDINA	
135	ACORIA	κορία
136	ACOS	ἄκος, ἄκησις, ιὄχος
137	ACOSMIA	ἀκοσμία, ατέεξτά
138	ACRAEPALOS	ἀκράιπαλος
139	ACRAI	
140	ACRASIA	ἀκρασία
141	ACRATIA	ἀκράτεια
142	ACRATISMA	ἀκράτισμα, ἀκρατισμὸς
143	ACRATOS	ἄκρατος
144	ACREA	ακρεα, ἀκραλέα, ἀκρωτηρια
145	ACRESPERON	ἀνέσπερον
146	ACRETOPOSIA	ἀκρητοποσία
147	ACRIBES	ἀκριβὴς, ἀκρίβεια
148	ACRIMONIA	δριμύτης, δριμύ
149	ACRIS	ἀκρὶς
150	ACRISIA	άκρισία
151	ACRITOS	ἄκριτος
152	ACROASIS	ἀάρόασις, ἀκαὶ
153	ACROBYSTIA	ἀκροβυστία
154	ACROCHIR	ἀκρόχειρ, ἀκρῥχειρον
155	ACROCHIRESIS	ἀκροΑ:Ε!ρησις, ἀκροχειρισμὸς, ἀκροχειρίη
156	ACROCHLIARON	ἀκροχλίαρον, ἄκρως, χλιαρόν
157	ACROCHOLIA	άκροχολιἀ, ἀηρηχολτά, ἀκραχολία
158	ACROCHORDON	ἀκρρχορδο'ν
159	ACROCHORISMUS	ἀκροχιρισμὸς
