cote	entry	grec
_27898	Abasie	
_27898	Abbazzia	
_27898	Abbe	
_27898	Abcédé	
_27898	Abducteur	
_27898	Abécédaire	
_27898	Abépithymia	
_27898	Abiogenèse	
_27898	Abortif	έκδόλιου, φάρμακου, φθορίου
_27898	Aboulie	
_27898	Abscisse	
_27898	Absinthéine, Absinthine	
_27898	Absinthémie	
_27898	Abutilon	
_27898	Acacie	
_27898	Acajuba	
_27898	Acalypha	
_27898	Acanthichtyose	
_27898	Acanthopelvis	
_27898	Acanthosis nigricans	
_27898	Acanthotèque	
_27898	Acapnie	
_27898	Acarophobie	
_27898	Accessoire	
_27898	Acclimatement	
_27898	Accolement	
_27898	Accommodateur	
_27898	Accumulation	
_27898	Acephale	
_27898	Acescent	
_27898	Acétanilide	
_27898	Acétonémie	
_27898	Acétonurie	
_27898	Acétophénone	
_27898	Achaovan	
_27898	Achilléine	
_27898	Achilletine	
_27898	Achillodynie	
_27898	Acholurique	
_27898	Achondroplasie	
_27898	Achromatine	
_27898	Achromatocyte	
_27898	Achromatope	
_27898	Achronizoïque	
_27898	Achroodextrine	
_27898	Achyranthe	
_27898	Acidisme	
_27898	Acinèse	
_27898	Acinésique	
_27898	Aciniformé	
_27898	Acnitis	
_27898	Acolyctine	
_27898	Aconelline	
_27898	Acqui	
_27898	Âcre	
_27898	Acridophage	
_27898	Acritique	
_27898	Acrocéphalie	
_27898	Acrocéphalique	
_27898	Acrocyanose	
_27898	Acromégalie	
_27898	Acromélalgie	
_27898	Acroneurose	
_27898	Acroparesthésie	
_27898	Acrophobie	
_27898	Acrotrophonévrose	
_27898	Actée	
_27898	Actinographie	
_27898	Actinomycète	
_27898	Actinomycose	
_27898	Actinoscopie	
_27898	Actol	
_27898	Ada	
_27898	Adamantoblaste	
_27898	Adams	
_27898	Adansonia	
_27898	Add	
_27898	Addition	
_27898	Adecte	άδηκτος
_27898	Adénocancer	
_27898	Adénofibrome	
_27898	Adénoïdien	
_27898	Adénoidite	
_27898	Adénolipomatose symétrique diffuse	
_27898	Adénoméningé	
_27898	Adénomyxome	
_27898	Adénonerveux	
_27898	Adénopharyngien	
_27898	Adénopharyngite	
_27898	Adénophlegmon	
_27898	Adénophtalmie	
_27898	Adénosarcome	
_27898	Adénoses	
_27898	Adénotrichie	
_27898	Adhatoda	
_27898	Adiaphorése	
_27898	Adipose	
_27898	Adonidine	
_27898	Adoucissant	θελκτικός
_27898	Adoxa	
_27898	Ædœom ycodermite	
_27898	Ægilops, Ægophonie	
_27898	Æginétie	
_27898	Ægiphila	
_27898	Ægle	
_27898	Aérhémoctonie	
_27898	Aérifère	
_27898	Aérobie	
_27898	Aéroductor	
_27898	Aerohydropathie	
_27898	Aérophagie	
_27898	Aéropiésie	
_27898	Aéropiésisme	
_27898	Aéropiésothérapie	
_27898	Aéropléthysmographe	
_27898	Aérothermothérapie	
_27898	Aérotonomètre	
_27898	Aérotropisme	
_27898	Æsthésie, Æsthésiogène, Æsthésiologie, Æsthésiomètre, Æsthésodique, Esthésie, Esthésiogène, Esthésiologie, Esthesiomètre, Esthésodique	
_27898	Affinage	
_27898	Agacin	
_27898	Agalactation	
_27898	Agati	
_27898	Agenesie	
_27898	Agglutinant, Agglutinatif	
_27898	Agglutinine	
_27898	Aglossostomatographie	
_27898	Agnoscie	
_27898	Agoraphobie	
_27898	Agrammatisme	
_27898	Agraphie	
_27898	Agrippinus partus	
_27898	Ai	
_27898	Aichmophobie	
_27898	Aigle-les-Bains	
_27898	Aiguilleur	
_27898	Aïnhum	
_27898	Airol	
_27898	Air-tractor	
_27898	Aix	
_27898	Aix-la-Chapelle	
_27898	Aix-les-Bains	
_27898	Ajutage	
_27898	Akidopirastique	
_27898	Akinésique	
_27898	Alangier	
_27898	Albizzie	
_27898	Albuginée	
_27898	Albumètre	
_27898	Albumoses	
_27898	Albumosurie	
_27898	Alcalin	
_27898	Alcalinisme	
_27898	Alcaptonurie	
_27898	Alchornée	
_27898	Alcmelle	
_27898	Alcoolat	
_27898	Alcoolique	
_27898	Alcruelle	
_27898	Alécithe	
_27898	Alectoria	
_27898	Alep	
_27898	Alet	
_27898	Aletris	
_27898	Aleucémique	
_27898	Aleurites	
_27898	Alexander	
_27898	Alexie	
_27898	Alexine	
_27898	Alger	
_27898	Algésimètre	
_27898	Algie	
_27898	Algopoiétique	
_27898	Algostase	
_27898	Alhama-de-Aragon	
_27898	Alhama-de-Murgie	
_27898	Alibert	
_27898	Allamanda	
_27898	Allantiasis	
_27898	Allantoique	
_27898	Allenthése	
_27898	Allesthésie	
_27898	Allevard	
_27898	Allochirie	
_27898	Allocinésie	
_27898	Allorythmie	
_27898	Alphénic	
_27898	Alpiste	
_27898	Alstonie	
_27898	Alstrœmère	
_27898	Altilétrie	
_27898	Alucite	
_27898	Alvéolite	
_27898	Amanthine	
_27898	Amaracus	
_27898	Amaril	
_27898	Amaxophobie	
_27898	Amboine	
_27898	Ambrésin	
_27898	Ambrosie	
_27898	Ambulie	
_27898	Amélie	
_27898	Amélie-les-Bains	
_27898	Amer	
_27898	Américain	
_27898	Amibien	
_27898	Amiburie	
_27898	Amimie	
_27898	Amitosique	
_27898	Ammon	
_27898	Annoniure	
_27898	Amniotite	
_27898	Amœba coli, Amœba gingivalis, Amœba urogenitalis	
_27898	Amœboïde	
_27898	Ampasser	
_27898	Ampère	
_27898	Ampèremètre	
_27898	Amphiaster	
_27898	Amphiblastula	
_27898	Amphiblestroïdomalacie	
_27898	Amphibole	
_27898	Amphigastrula	
_27898	Amphion-les-Bains	
_27898	Amphophile	
_27898	Amplexation, Amplexion	
_27898	Amusie	
_27898	Amyélinique	
_27898	Amygdales	
_27898	Amygdalien	
_27898	Amygdophénine	
_27898	Amylobactérie	
_27898	Amyloforme	
_27898	Amylopsine	
_27898	Amyostasie	
_27898	Amyotaxie	
_27898	Anabase	άνάβχσΐς
_27898	Anaclase	άνάκλασις
_27898	Anacrote	
_27898	Anacrotisme	
_27898	Anacycle	
_27898	Anadipsie	
_27898	Anadipsique	
_27898	Anagenèse	
_27898	Anagyrine	
_27898	Analeptiques	
_27898	Analgéne	
_27898	Analgésine	
_27898	Analogues	
_27898	Anamirte	
_27898	Ananabasie	
_27898	Ananastasie	
_27898	Anandrié	
_27898	Anapéiratique	
_27898	Anaplérotique	
_27898	Anapnéographe	
_27898	Anapnoique	
_27898	Anarthrie	
_27898	Anastrophie	ανάστροφος
_27898	Anataxie	
_27898	Anchieta	
_27898	Anchiétine	
_27898	Anchilostome	
_27898	Ancone	
_27898	Anda, Anda-açu, Andassu, Anda de pison	
_27898	Andabre	
_27898	Andermatt	
_27898	André de La Croix	
_27898	Andrographis	
_27898	Anèbe	άνηβος
_27898	Anélectrotonique	
_27898	Anélectrotonus	
_27898	Anencéphale	
_27898	Anencéphalohém	
_27898	Anépiploique	
_27898	Anésine, Anéson	
_27898	Anesthesimètre	
_27898	Anesthésique	
_27898	Anesthie	
_27898	Anetlinau	
_27898	Aneurose	
_27898	Angélonie	
_27898	Angiocholécystite	
_27898	Angiocholite	
_27898	Angiohemie	
_27898	Angiokératome	
_27898	Angiolithique	
_27898	Angionosé	
_27898	Angiorragie, Angiorrhagie	
_27898	Angiose	
_27898	Angiospastique	
_27898	Angiosténique	
_27898	Angiotérie	
_27898	Angiotribe	
_27898	Angiotripsie	
_27898	Angor	
_27898	Angulaire	
_27898	Anhéler	
_27898	Anhématopoièse	
_27898	Anhématose	
_27898	Anhépatie	
_27898	Anhidrose	
_27898	Anhydratation	
_27898	Anhydrisation	
_27898	Anhydrite	
_27898	Anilipyrine	
_27898	Aniodol	
_27898	Anisode	
_27898	Anisometropie	
_27898	Ankylostomasie	
_27898	Ankylurétrie	
_27898	Ankyrism	
_27898	Annélidés	
_27898	Annexite	
_27898	Anocœliadelphe	
_27898	Anodin, Anodyn	
_27898	Anonnement	
_27898	Anophtalmie	
_27898	Anophtalmohémie	
_27898	Anorchide	
_27898	Anorcrcidie	
_27898	Ano-rectal	
_27898	Anc-spinal	
_27898	Anoxémie, Anoxyémie	
_27898	Antagoniste	
_27898	Antécédent	
_27898	Antephialtique	
_27898	Antharobine	
_27898	Anthelminthique	
_27898	Anthracénise	
_27898	Anthracine	
_27898	Anthraquinone	
_27898	Anthropologique	
_27898	Anthropologue	
_27898	Anthroponomié	
_27898	Anthropophage	
_27898	Anthypocondriaque	
_27898	Antiaphrodisiaques	
_27898	Antiar	
_27898	Antiataxique	
_27898	Anticharbonneux	
_27898	Anticceur	
_27898	Anticorps	
_27898	Antidénutritif	
_27898	Antidéperditeur	
_27898	Antidesma	
_27898	Antidotisme	
_27898	Antifarcineux	
_27898	Antifébrine	
_27898	Antihémorragique	
_27898	Antihémorroïdal	
_27898	Antilaiteux	
_27898	Antiléthargique	
_27898	Antinéphrétique	
_27898	Antinosine	
_27898	Antiobésique	
_27898	Antiorgastique	
_27898	Antipaludéen	
_27898	Antipeptone	
_27898	Antiphone	
_27898	Antiphthiriaque, Antiphthirique	
_27898	Antipyrine	
_27898	Antipyrotiqué	
_27898	Antisepsie	
_27898	Antiseptol	
_27898	Antispasmodiques	
_27898	Antithermique	
_27898	Antitoxine	
_27898	Antivariolique	
_27898	Antivenin	
_27898	Antivirulent	
_27898	Antogast	
_27898	Anupographie	
_27898	Anurique	
_27898	Anytyne	
_27898	Aournier	
_27898	Apama	
_27898	Apanthropon	
_27898	Apéritifs	
_27898	Apexien	
