vedette	inversée	étymologie avec grec
abaptista	atsitpaba	de a priv., et βχπτίζειν, plonger
abdominoscopie	eipocsonimodba	mot hybride, du latin abdomen, et du grec σχαπεΐν, examiner
abeille	ellieba	de apicula, diminutif de apis; υ.ίλιααν
ablépharon	norahpélba	de a. privatif, et βλε'φαρον, paupière
ablepsie	eispelba	de a privatif, βίβλέπειν, voir
abranches	sehcnarba	de a privatif, et βράγχια, branchies
abricot	tocirba	le français vient de l’espagnol ; l’espagnol, de l’arabe al berkok, dcl’article arabe aZet du grecπpαtκόκιcv, qui vient du latinprœcocia, fruits précoces
abulie	eiluba	de. apriv., et βούλεσθαι, vouloir
acacia	aicaca	de ακακία, bonté, innocence (dit, | soit par antiphrase, à cause des épines qui l’arment, soit | à cause de la gomme qu’il fournit) 
acacia	aicaca	de a priv., et κακός, j mauvais
acampsie	eispmaca	de a priv., et κάμπτει?, fléchir
acanthacées	seécahtnaca	de άκανΟα, épine
acanthobole	elobohtnaca	de άκανθα, épine,.et de βάλλει?, jeter dehors
acanthocéphale	elahpécohtnaca	de άκανθα, épine, et κεφαλή, tête
acanthoptérygien	neigyrétpohtnaca	de άκανθα, épine, et πτερύγια?, petite aile
acardie	eidraca	de a priv., et καρό'ία, cœur 
acare	eraca	de άκαρι, sorte de petits insectes
acarpe	epraca	de a priv.,καρπός, fruit
acatapose	esopataca	de a priv., et κατάποσις, déglutition
acatasiatique	euqitaisataca	de a priv., et κατάστασις, constance
acatharsie	eisrahtaca	de a priv., είκαθαίρειν, purifier
acaule	eluaca	de a priv., et καυλός, tige
acedia	aideca	de άκηό'ία, nonchalance
acéphale	elahpéca	de a priv., et κεφαλή, tête : sans tête
acéphalobrache	ehcarbolahpéca	de βραχίων, bras
acéphalocarde	edracolahpéca	de καρίία, cœur
acéphalochire	erihcolahpéca	de χειρ, main
acéphalocyste	etsycolahpéca	de a priv., κεφαλτ., tête, et κύστις, vessie 
acéphalogastre	ertsagolahpéca	de ! γαστήρ, ventre
acéphalopode	edopolahpéca	de παϋς, pied
acéphalorachie	eihcarolahpéca	de ράχις, rachis
acéphalostome	emotsolahpéca	de στόμα, bouche
acéphalothoracie	eicarohtolahpéca	de θώραξ, poitrine
acératie	eitaréca	de a priv., et κεράς, corne
acératothérion	noiréhtotaréca	de a. priv., κεράς, corne, et όήρίΰν, animal
acétabule	elubatéca	sorte de vase; de acetum, vinaigre, κοτύλη, mesure contenant 0 lit. 27 ;
achilie	eilihca	de a priv., et χείλος, lèvre
achillée	eéllihca	de Αχιλλευς, Achille, qui avait reçu de Chiron la connaissance des propriétés des plantes
achirie	eirihca	de a priv., et χε'φ, main
achlys	sylhca	de άχλύς, brouillard
