entrée	James EN	James FR
A. A. A.	1	
A.A.A		1
Aabam	1	1
Abactus	1	1
Abacus	1	
Abacus major	1	
Abacus-major		1
Abada		1
Abaisir	1	
Abaisir, Spodium		1
Abalienatus	1	1
Abanga	1	1
Abaptiston, Abaptista	1	1
Abaremo-temo		1
Abaris	1	1
Abarnahas	1	1
Abartamen	1	1
Abarticulatio	1	1
Abas	1	1
Abavi	1	
Abavi, Abavo, Abavum		1
Abbreviatio	1	1
Abdelavi	1	1
Abditae Causae	1	
Abditae causae		1
Abditus	1	1
Abdomen	12	17
Abducere	1	
Abductio	1	
Abductor	1	
Abebaeos	1	1
Abele	1	1
Abelicea	1	1
Abelmeluch		1
Abelmoluch	1	
Abelmosch	1	1
Abesamum	1	1
Abessi	1	
Abessi, Rebis		1
Abesum	1	1
Abevacuatio	1	1
Abhal		1
Abicum	1	
Abicum, Coopertorium		1
Abies	1	1
Abiga		1
Abiga herba	1	
Abit, Aboit	1	1
Ablactatio	1	1
Ablatio	1	1
Abluentia medicamenta	1	1
Abluiren	1	1
Ablutio	1	1
Aboit	1	1
Abomasum	1	1
Abominatio	1	1
Abortus	23	
Abortus, Aborsus		31
Abrabax, Abraxas	1	1
Abracadabra	1	1
Abracalan	1	1
Abraham	1	1
Abrasa	1	1
Abrasaxas	1	1
Abrasio	1	1
Abrasum	1	1
Abrathan	1	
Abrathan, Abrotanum		1
Abric	1	1
Abrotanoides	1	1
Abrotanum	1	1
Abrotonites	1	1
Abruptio	1	1
Abrus	1	1
Abscedentia	1	1
Abscessio	1	
Abscessus	17	28
Abscissio	1	1
Absconsio	1	1
Absinthites vinum	1	
Absinthium	1	4
Absorbentia	2	
Abstemius	1	1
Abstentio	1	1
Abstergentia	1	1
Abstinentia	1	1
Abstractitius	1	1
Absus	1	1
Abundantia	1	1
Abusus	1	1
Abutige	1	1
Abutilon	1	1
Abvacuatio, Abevacuatio	1	1
Abyssus	1	1
Acacalis	1	1
Acacia	1	1
Acacia ferrea	1	1
Acacia germanica	1	1
Acacos	1	1
Academia	1	1
Acaeria	1	1
Acahi, Achahi	1	1
Acaid	1	1
Acairos	1	1
Acaja	1	1
Acajaiba	1	1
Acajou	1	
Acajouanum lignum	1	1
Acalai	1	1
Acalcum	1	1
Acalephe	1	1
Acamatos	1	1
Acamech, Acemech	1	1
Acanor	1	1
Acantha	1	1
Acanthabolus	1	1
Acanthaceous	1	1
Acanthalzuca	1	1
AcanthiWn	1	
Acanthice	1	1
Acanthion		1
Acanthium	1	1
Acanthus	4	6
Acanus	1	1
Acapnon	1	1
Acardios	1	1
Acari, Acarus	1	1
Acaricoba		1
Acarna	1	1
Acarnan	1	1
Acaron	1	1
Acartum	1	1
Acarus		1
Acatalepsia	1	1
Acatalis	1	1
Acatastatos	1	1
Acatera	1	1
Acatharsia	1	1
Acato, Araxos	1	1
Acaulis	1	1
Acaulos	1	1
Acazdir	1	1
Accatem	1	1
Accatum		1
Acceleratores urinae	1	1
Accessio	1	1
Accessorius	1	1
Accessus	1	1
Accib	1	1
Accidens	1	1
Accipiter	1	1
Accipitrina	1	
Accipitrina, Praedatrix		1
Accretio	1	1
Accubitus	1	
Accurtatoria	1	1
Accusatio	1	1
Acedia	1	1
Acephalos	1	1
Acer	1	1
Aceratos	1	1
Acerbus	1	1
Acerides	1	1
Acerosus	1	1
Acescentia		1
Acesias	1	1
Acesis	1	1
Acesius	1	1
Aceso	1	1
Acesta	1	1
Acestides	1	1
Acestis	1	1
Acestoris	1	1
Acestra	1	1
Acestrides	1	1
Acetabulum	1	1
Acetaria	1	1
Acetarium scorbuticum	1	1
Acetosa	1	1
Acetosa esurina		1
Acetosella	1	1
Acetum	8	12
Acetum radicatum	1	1
Achahi	1	1
Achamelech	1	1
Achanaca		1
Achaovan, Achaova	1	1
Achariston	1	1
Achates	1	1
Acheir	1	1
Achemenis	1	1
Achicolum	1	1
Achillea	1	1
Achillea montana	1	1
Achilleion	1	1
Achilleios	1	1
Achilleis	1	1
Achilles	1	1
Achillis		1
Achillis tendo	1	
Achimbassi	1	1
Achiote	1	1
Achiotl	1	1
Achlades	1	1
Achlys	1	1
Achmadium, Achimadium	1	1
Achne	1	1
Achor	1	1
Achoristos	1	1
Achourou		1
Achras	1	1
Achreion	1	1
Achroi	1	1
Achromos	1	1
Achrous	1	1
Achy	1	1
Achyron	1	1
Acia	1	1
Acicys	1	1
Acida	34	47
Acies	1	1
Acinesia	1	1
Aciniformis, Acinosa tunica	1	1
Acinos	1	1
Acinus	1	1
Acis	1	
Acmasticos	1	1
Acme	1	1
Acmella	1	1
Acmo	1	1
Acne	1	1
Acnestis	1	1
Aco	1	1
Acoe	1	1
Acoelios	1	1
Acoitus	1	1
Acolastos	1	1
Acon	1	1
Acone	1	1
Aconion	1	1
Aconitifolia	1	1
Aconiton	1	1
Aconitum	1	1
Aconitum hyemale	1	
Acontias	1	1
Acopa	1	1
Acopis	1	1
Acopon	1	1
Acopos	1	1
Acor	1	1
Acordina	1	1
Acoria	1	1
Acorites vinum	1	1
Acorna	1	1
Acortinus	1	1
Acorus	1	2
Acos	1	1
Acosmia	1	1
Acousa	1	1
Acousia	1	1
Acoustica	1	1
Acrai	1	1
Acraipala	1	1
Acralea	1	1
Acras	1	1
Acrasia	1	1
Acratia	1	1
Acratisma	1	1
Acratomeli	1	1
Acratos	1	1
Acre	1	1
Acrea	1	1
Acresperon	1	1
Acretoposia	1	1
Acribes	1	1
Acrifolium	1	1
Acrimonia	1	1
Acris	1	1
Acrisia	1	1
Acriton	1	1
Acriviola	1	1
Acroasis	1	1
Acrobystia	1	1
Acrocheiria	1	1
Acrocheiris	1	1
Acrochliaron	1	1
Acrocholia	1	1
Acrochordon	1	1
Acrochorismus	1	1
Acrocolia	1	1
Acrodrya	1	1
Acrolenion	1	1
Acromion	1	1
Acromphalion	1	1
Acron	1	1
Acropathos	1	1
Acropis	1	1
Acroploa	1	1
