Vedette	Renvoi	Lien mort ?
Abarticulation	Diarthrose	
Abstersif	Abstergent	
Abstersion	Abstergent	
Acotylédone	Cotylédon	
Actinies	Zoanthes	???
Acutangulaire	Acutanglé	
Adéno-nerveuse	Peste	
Adepte	Alchimie	
Adragant	Tragacanthe	
Agame	Cryptogame	???
Agamie	Cryptogamie	
Agissant	Actif	
Ailé	pinnées	???
Aléné	Subulé	
Alexipyrétique	Fébrifuge	
Algalie	Cathéter	
Alkermès	Kermès	
Amaurose	Goutte-sereine	
Amentacé	Chaton	
Amidon	Fécule	
Ampoule	Esséra	
Anabrose	Diabrose	
Anaclastique	Dioptrique	
Anaplérotiques	Incarnatifs	???
Anaplérotiques	Sarcotiques	???
Andranatomie	Androtomie	
Androïde	Automate	
Angioscope	Microscope	
Antalgique	Anodin	
Antaphrodisiaque	Antiaphrodisiaque	
Antaphroditique	Antiaphroditique	???
Antarthritique	Antiarthritique	
Antépileptique	Antiépileptique	
Anthélix	Hélix	
Anthrax	Charbon	
Anthropotomie	Androtomie	
Anticachectique	Cachexie	
Anticausodique	Causus	
Anticipant	Proleptique	
Antidotaire	Antidote	
Antidote	Alexipharmaque	
Antidote	Alexitère	
Antidyssentérique	Dyssenterie	
Antihémorroïdal	Hémorroïdes	
Antilobe	Tragus	
Antipéristaltique	Péristaltique	
Antipestilentiel	Antiloïmique	
Antiphysique	Carminatif	
Antipodagrique	Antiarthritique	
Antipyrétique	Fébrifuge	
Antipyrétique	Antifébrile	
Antipyrotique	Rafraîchissant	
Antipyrotique	Antiphlogistique	
Antiseptique	Antiputride	
Antisiphilitique	Siphilis	
Antispase	Révulsion	
Antispase	Révulsif	
Antispastique	Révulsif	
Apocroustique	Répercussif	
Apophlegmatisme	Masticatoire	
Apositie	Anorexie	
Apostume	Apostème	
Apostumer	Abcéder	???
Apre	Acerbe	
Ardeur	Dysurie	
Arête	Barbe	
Argyropée	Alchimie	
Aridure	Atrophie	
Arracheur	Dentiste	
Arrière-faix	Placenta	
Arrière-faix	Sécondines	
Artériole	Artère	
Aryténoépiglottique	Aryténoïde	
Aryténoépiglottique	Épiglotte	
Aspirer	Inspirer	???
Athéromateux	Athérome	
Atrophie	Aridure	
Atrophie	Marasme	
Aurélie	chrysalide	???
Baroscope	Baromètre	
Bas-ventre	Abdomen	
Bigamie	Bigame	
Bisexe	Hermaphrodite	
Blessure	Plaie	
Bourses	Scrotum	
Bouton	Bourgeon	
Caillot	Cruor	???
Calculifrage	Lithontriptique	
Calmant	Anodin	
Caput-mortuum	Tête-morte	???
Carature	Carat	
Carcinome	Cancer	
Cardiogme	Cardialgie	
Carpien	Carpe	
Catalotique	Catulotique	
Catarrhal	Catarrhe	
Catholicon	Catholique	
Cauchemar	Incube	
Cautérétique	Pyrotique	
Cayeu	Caïeu	
Céliaque	Opisthogastrique	???
Centiare	Are	
Centigramme	Gramme	
Centimètre	Mètre	
Céphalitis	Frénésie	
Cervelle	Cerveau	
Cervoise	Bière	???
Chaleur	Calorique	
Chancre	Aphthes	
Charbon	Anthrax	
Charlatan	Saltimbanque	???
Chartre	Carreau	
Chaude-pisse	Gonorrhée	
Chaude-pisse	Blennorrhagie	
Chocolat	Cacao	
Choléra-morbus	Trousse-galant	
Chondroptérygien	Cartilagineux	
Chordapse	Iliaque	
Cire des oreilles	Cerumen	???
Ciron	Acarus	
Cirsocèle	Varicocéle	???
Clou	Furoncle	
Concoction	Coction	
Constitution	Complexion	
Contractif	Astringent	
Coprocritiques	Enoprotiques	???
Coraco-brachial	Coracoïde	
Coracohyoïdien	Coracoïde	
Coracohyoïdien	Hyoïde	
Coraco-radial	Coracoïde	
Cornée	Sclérotique	
Cornet	Acoustique	
Couronne	Chapelet	
Coxal	Innominé	
Cricoaryténoïde	Cricoïde	
Cricoaryténoïde	Aryténoïde	
Cricothyroïdien	Cricoïde	
Cricothyroïdien	Thyroïde	
Crinon	Dracuncule	???
Crithe	Orgeolet	
Croûte	Achores	
Cunéiforme	Sphenoïde	???
Cynancie	Esquinancie	
Décagramme	Gramme	
Décalitre	Litre	
Déciare	Are	
Décilitre	Litre	
Décistère	Stère	
Décrétoire	Critique	
Défécation	Dépuration	
Délivre	Arrière-faix	
Délivre	Placenta	
Dentition	Odontophie	
Derme	Peau	
Descente	Hernie	
Détergent	Détersif	
Détorse	Distorsion	
Détorse	Entorse	
Dévoiement	Flux de ventre	???
Dévoiement	Cours de ventre	
Dévoiement	Diarrhée	
Diaire	Éphémère	
Dicotylédoné	Cotylédon	
Didynamie	Didyname	
Diététique	Diète	
Diorrhose	Diurèse	
Disposition	Diathèse	
Distorsion	Détorse	
Distorsion	Contorsion	
Dragme	Gros	
Dure-mère	Méninge	???
Eau-de-vie	Alcohol	
Ecchymose	Sugillation	
Ecchymose	Meurtrissure	
Éclegme	Look	
Écorce	Quinquina	
Écrevisse	Cancer	
Effleurir	Efflorescence	
Éjaculatoire	Éjaculateur	
Éjection	Déjection	
Éléphantiasis	Lèpre	
Éléphantiasis	Léontiasis	
Ellipsoïde	Ellipse	
Emphractiques	Emplastiques	
Emphraxie	Sténochorie	
Emphraxie	Thlipsie	
Emplastiques	Emphractiques	
Empyreumatique	Empyreume	
Encéphalite	Frénésie	
Enfantement	Accouchement	
Engastrimythe	Ventriloque	
Entonnoir	Infundibuliforme	
Entorse	Détorse	
Entrailles	Viscères	???
Éphialte	Incube	
Épicarpe	Péricarpe	
Épidémique	Épidémie	
Épiginomènes	Épiphénomènes	
Épiphyse	Apophyse	
Épitrochlée	Trochlée	
Épizootique	Épizootie	
Éraillement	Ectropion	
